,contrast_d1_a0,dissimilarity_d1_a0,homogeneity_d1_a0,energy_d1_a0,correlation_d1_a0,contrast_d1_a45,dissimilarity_d1_a45,homogeneity_d1_a45,energy_d1_a45,correlation_d1_a45,contrast_d1_a90,dissimilarity_d1_a90,homogeneity_d1_a90,energy_d1_a90,correlation_d1_a90,contrast_d1_a135,dissimilarity_d1_a135,homogeneity_d1_a135,energy_d1_a135,correlation_d1_a135,contrast_d3_a0,dissimilarity_d3_a0,homogeneity_d3_a0,energy_d3_a0,correlation_d3_a0,contrast_d3_a45,dissimilarity_d3_a45,homogeneity_d3_a45,energy_d3_a45,correlation_d3_a45,contrast_d3_a90,dissimilarity_d3_a90,homogeneity_d3_a90,energy_d3_a90,correlation_d3_a90,contrast_d3_a135,dissimilarity_d3_a135,homogeneity_d3_a135,energy_d3_a135,correlation_d3_a135,contrast_d5_a0,dissimilarity_d5_a0,homogeneity_d5_a0,energy_d5_a0,correlation_d5_a0,contrast_d5_a45,dissimilarity_d5_a45,homogeneity_d5_a45,energy_d5_a45,correlation_d5_a45,contrast_d5_a90,dissimilarity_d5_a90,homogeneity_d5_a90,energy_d5_a90,correlation_d5_a90,contrast_d5_a135,dissimilarity_d5_a135,homogeneity_d5_a135,energy_d5_a135,correlation_d5_a135,tumor_type
1186,31.7210776969147,61.377093378161575,32.63776220033878,60.99941406474046,219.27793083872103,188.97411764709554,181.83244950274633,186.68351403309853,429.4924301959058,417.487289974687,291.4015077970378,413.647234794576,2.4546959087569706,3.406543326656902,2.3531410530818655,3.41268607274016,6.533057312133257,6.0277662437537645,5.619670155944252,6.0189773164180975,9.405337000737184,9.472068944140094,7.520852594919592,9.472386694775608,0.6150427523624509,0.5598463032271687,0.6213946371892273,0.5597312022810353,0.49018696141596346,0.48581179979551137,0.5052428650856947,0.48617628428039306,0.4473539555357349,0.43014872700428086,0.46793288889805235,0.4297863616361415,0.21311786518965586,0.20549201888170168,0.2161785277923922,0.20561611701746016,0.19606939619684619,0.1940690256848356,0.20171058978318937,0.19433100655217256,0.18541000768085258,0.18136151329303665,0.1956154028672108,0.18183126892513807,0.9897952979695103,0.9802669400983479,0.9895026266090956,0.9803883659936657,0.9295135891773072,0.9393130882485761,0.9416077822549656,0.940048689827846,0.8620469033485824,0.866245105788584,0.9065777369932039,0.8674753855760471,1
641,39.64021220645319,74.378050788709,38.74330739358747,74.97889101220633,263.386181544777,230.40101114960333,226.752774281748,231.55540561327854,486.9849913706838,498.70744079001616,374.4522312622425,498.38042113597555,2.666814456946746,3.7061936803243003,2.573358763453646,3.754010592790139,6.855683632123514,6.446962706652772,6.129639151524106,6.533021914649682,9.468649839740996,9.681888988780585,7.98228704388374,9.787630200263012,0.6240805610359146,0.578576493271148,0.6294947999353065,0.5770347376928562,0.526061010879549,0.5256392611718536,0.5415537096946579,0.5245686174203343,0.4982435940235488,0.4903672713151335,0.5163484521637004,0.489601292470537,0.2813657115080063,0.2777735842559583,0.2851469542747398,0.27777985018233714,0.2708003518441979,0.27080559799216525,0.27718678260419244,0.27080191539342213,0.26359145818021884,0.26148898520281344,0.2729909566431006,0.2612959073963036,0.9877323834070244,0.9770045712137635,0.9880141419537595,0.9768188097098603,0.9185919564285933,0.9288855686661777,0.9299909760846778,0.9285292590067377,0.849670048789844,0.846542196038248,0.884581441160468,0.8466428236083464,0
668,28.024110200584392,48.49370215340227,25.324692698138133,54.29083834696831,197.27372145143627,160.0195463283826,168.3213869106565,178.57935409463656,393.27522497524524,412.71566743144064,338.2685527612426,443.76020677052674,1.9163557974557102,2.5901402032007006,1.807829317514407,2.683100937879269,5.000291625738027,4.611526336025923,4.549468934185824,4.7882045367179815,7.033330251477392,7.346022692047116,6.417306151378627,7.589706429414736,0.7231627762167819,0.6839768814203809,0.7312120674158572,0.6837367943250278,0.6407781604786299,0.6344630950669325,0.6501730559584609,0.6341341871332956,0.6176078307681119,0.5984878439677059,0.6224500201018557,0.5987027132323425,0.3728842771825119,0.36730737113101347,0.3751978233910307,0.367338119127979,0.36328516858542687,0.35848948714532486,0.36343478041720245,0.3586303497357313,0.35546689627028866,0.3451847051750823,0.35472832362092144,0.3455004647238585,0.9901258775959335,0.9829313334937471,0.9910770007055667,0.9808908750427455,0.9306367305773628,0.9437938153952077,0.9408166398242103,0.9372747619078455,0.8620087298088565,0.8556342144915032,0.881309311400998,0.8447749967270458,0
541,297.9617104907044,467.6188410237236,194.64424787763528,446.3582584730206,1644.071377331091,1267.2862313873038,1055.0943860546904,1213.2067865234965,3041.59901501479,2795.7196232329284,1893.1322715752265,2797.7145299135705,8.320107075089787,10.430124540632836,6.472658566758101,10.348458554516156,20.33861105417368,17.3450044603094,15.487755276422469,17.25341384753255,28.293463286945084,26.984406070110527,21.30611717254962,27.231362288495102,0.3161476497080876,0.27670962665474524,0.3520835105399525,0.27475569170391145,0.23097684007470212,0.23506901701180777,0.25888523543578945,0.2337214518376097,0.20529054263305274,0.19896969690311406,0.2339086563746983,0.19846224861773853,0.1260126023976162,0.12090772906301347,0.13593057764822114,0.12066293748075886,0.1186222913075228,0.11972233737966718,0.1268910955796188,0.11913353931365796,0.11443349514966561,0.10894234879676495,0.12189474719479278,0.10880972960654742,0.9562263505025687,0.9311771604243836,0.971408471048153,0.9343059800723503,0.7577086212277606,0.8128773478386093,0.8443951594065792,0.8208609752330422,0.549412084158005,0.5832052917440619,0.718754482513494,0.5829003089608198,0
1195,80.92187165545725,126.57592773857627,51.96290018831412,127.56352068415643,522.6533402249519,403.21882989020514,351.2841167355802,408.6515839840372,986.1245937164297,988.3565098838743,715.8575757574575,1019.8934158318323,4.720818528189994,6.110950835437851,3.8728642355754834,6.133626981265789,12.109359521043375,10.913295446695097,10.142501721764468,10.992978304430308,16.923449620806558,17.53232656913139,14.653454545452362,17.874067082651113,0.3817715586958835,0.3134237072896772,0.4107680950838403,0.3139922427610104,0.22733867257114462,0.21964874218604843,0.23156472655281268,0.2215372881040167,0.179279916562514,0.1581105701336468,0.18011123350636274,0.15982319918873913,0.043828393708775844,0.03820684703802038,0.0469840455959411,0.038390168845802396,0.03067250958317894,0.0304610374846924,0.03166712003981837,0.030670965925463613,0.026553673828944392,0.025015062054552076,0.027380671422004323,0.025163146037186588,0.9782452047210624,0.9659029870628822,0.9860334758854749,0.9656369991801754,0.8589258457864635,0.8909171131685074,0.905160740183061,0.8894477729519759,0.7329534265700451,0.7302971740261572,0.8058788603492953,0.7216985102606177,1
347,193.6071453528844,372.57655787394935,188.16080893460534,375.3172772026251,1262.0972925459687,1251.7114974529647,1204.755301493393,1262.8489593425325,2118.936066878086,3081.9943820206618,2015.1919819863733,3120.445942569985,6.757302585603723,10.386739895939245,6.634136970512138,10.400842662183512,17.38795710267546,18.68046278835532,16.807671030790967,18.65897996227994,23.90099964613046,29.994560370948683,23.04099960263639,30.019707508454882,0.3848104834084659,0.2792127740117781,0.3752034181712626,0.27739199121185437,0.2807964980636608,0.23406031166650088,0.281354456064794,0.23373999789603406,0.24923165130664077,0.19303917618068925,0.2522503067484024,0.19326193355756321,0.12914587079227957,0.12150034768189237,0.12730953333399078,0.12149059553307878,0.12040790422383993,0.1142079121011744,0.1175955812670181,0.11411589223648898,0.11200627372521936,0.10218709992364661,0.10889625443104264,0.10194323939574278,0.9763684948959773,0.9539911913603831,0.9770688730837954,0.9536527175944419,0.8439668715758688,0.8419421166331272,0.851352266258005,0.8405356559888756,0.7384066377565162,0.6114242625990622,0.7515396290970446,0.6065777393442644,0
1036,38.10435267856617,68.6442951734956,36.03681124632699,72.6987833226677,251.89404776527465,215.1948404460216,222.5898437500463,228.6119723183804,473.9614151872877,504.19443626400016,398.33179625855524,529.9892623536624,2.9642092710367,4.027194289237366,2.7841663099311162,4.110320502755164,7.560873035364845,7.009527104960984,6.78434276768318,7.172918108421197,10.419216900885411,10.723374821752236,9.070493558923138,10.91375395251051,0.5113459998672085,0.4253242499231553,0.5029064618846589,0.4256651294474927,0.34852746853558486,0.3301669261407951,0.34425075702416047,0.3313573429684356,0.3092057988278468,0.2785539185955772,0.311686385929992,0.28115568495526155,0.11996783445550284,0.10580063179933781,0.11857048537947987,0.10613301475880309,0.0979613203924788,0.09315014009999428,0.0975685191771759,0.09324675853276117,0.09058380716780345,0.08168924535373635,0.09114517000288627,0.08180945219690222,0.9858262072879692,0.9744569554208417,0.9865953201233537,0.972948250709433,0.9062336506471333,0.9198657728108343,0.9171434058238773,0.9148695029585476,0.8234326174920873,0.8119485113300564,0.8516381059937144,0.8023277081294257,1
546,25.178342098823894,43.08149095629821,19.991545376711123,41.93629773170062,158.90013353391532,130.32360630528245,118.17455335217993,123.62360630528264,275.55280756899583,282.03309256624004,215.7158068293595,257.06971138947404,2.1209255748529943,2.809287648254987,1.9265991927591037,2.7898713623185682,5.339413985757179,4.840438292964764,4.666218995580329,4.7797385620920005,7.154601208085818,7.221162192325791,6.372526812129296,7.108701717404799,0.6664854014680323,0.6228282117407629,0.6705799279436906,0.6262374610131082,0.5768861420421753,0.5699949150788334,0.582679307938438,0.5731131378170988,0.549986717899885,0.5329955234526916,0.5527734802305949,0.5349157160103031,0.34528059409115136,0.3400046708981093,0.34752351753350463,0.34010505936573754,0.3360963588698304,0.33156213599578926,0.33699050155110455,0.3317779594369412,0.32880472953947937,0.31902593598626455,0.32935528262188474,0.31904755638822213,0.9847477470909947,0.9739257586846984,0.9878897464761257,0.9746188647919389,0.9039143683566577,0.921263712270937,0.9285407988622623,0.9253115831267339,0.8336706065575914,0.8302044422520578,0.8697897653721753,0.845233427650951,0
1656,571.2648559422926,997.7149640120773,438.8717000957594,894.6712703014853,3088.745043887597,2791.412380736033,2339.5764024299497,2494.984851941269,5230.174679486063,5734.955183754593,3894.3975850683155,5163.290212767907,13.046743697476707,17.67912725627577,11.356943167534771,16.82614839657144,31.447790556915066,30.1987873949987,27.050190272428306,28.60202607671792,43.26377442001533,46.28694390717494,36.68336485738905,43.89427466152643,0.224417136428943,0.18976272131900546,0.25224098151944874,0.19103400755059372,0.15770821900762494,0.15737929997058595,0.18245150716775194,0.15901258024428203,0.13334753420473716,0.11962793239265074,0.16482817436308503,0.12431006249793894,0.07999476328804411,0.07346346972822454,0.08437390939698632,0.07360787402547024,0.07009498554053516,0.06794247888156846,0.07280068572057306,0.06834030665011037,0.06265342103849417,0.05867814792948804,0.07059261683926585,0.05999977396464529,0.9499039654755916,0.9124963758248327,0.9614745461142025,0.921533016871475,0.7284486546078408,0.7550073801672623,0.7944658456202048,0.7810196199536266,0.5379170755801211,0.4935145831535215,0.6569062705936501,0.5439883242048652,1
569,37.92726807117857,89.3117213858607,47.625095554053516,74.46062553374789,268.7540175283216,279.84155709349864,270.70609881516185,232.10817762403994,543.8261526132696,645.2986739725325,488.0754746053765,554.4566154133875,3.0992577360562823,4.721519908394622,3.3998402336099884,4.454628314076278,8.249351516455869,8.264732795081079,7.978860971269254,7.796981930028755,11.853897004434764,12.681648738301368,10.701768984217365,12.158185566374618,0.5029370225520237,0.4125306572957079,0.4777255412767056,0.41353457582600034,0.34037628817215165,0.3231772318252625,0.33530176245597504,0.3238228357766806,0.2956031706181245,0.26940051603556325,0.2997811992349544,0.27144968478116527,0.1131376331713016,0.09599472183842349,0.10992614671575708,0.0957433765290491,0.08626621070852988,0.08055775239436229,0.08459275284472452,0.0803858885660211,0.07897900281714755,0.07250036732112725,0.07900535615901992,0.07257639947959184,0.9916181703327354,0.9802629423372256,0.9894770315944479,0.9835448946236652,0.9405896087308837,0.9381587851431087,0.9402106211880561,0.9487072012126937,0.8797600311648068,0.8574232914978468,0.8922621862730927,0.8774944613345658,0
